Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
61 years,456,616,995,1644,2771,1294,3869,1689,2018,520,1544,37803,1308,1662,840,670,290,1527,349,1028,1156,1475,511,683,606,606,1986,1418,991,710,1376,1186
62 years,475,612,994,1576,2642,1318,3764,1646,1959,492,1472,36676,1340,1521,855,614,283,1540,332,942,1216,1393,502,649,565,629,1912,1296,996,700,1290,1139
63 years,428,550,1050,1506,2497,1272,3512,1579,1816,472,1391,34797,1314,1490,761,609,292,1463,308,878,1174,1306,444,583,567,532,1840,1246,928,656,1231,1090
64 years,406,561,954,1477,2460,1212,3386,1536,1700,462,1447,34157,1302,1410,767,579,278,1494,297,872,1205,1246,476,540,589,559,1814,1314,890,654,1192,1068
65 years,418,575,894,1416,2370,1217,3334,1506,1704,457,1396,33388,1267,1408,702,584,292,1426,316,870,1139,1206,458,580,551,562,1764,1250,887,660,1163,1008
66 years,379,538,900,1306,2373,1183,3129,1462,1593,419,1372,32280,1217,1355,704,528,274,1428,291,842,1146,1190,434,566,548,512,1759,1222,847,624,1107,1022
67 years,374,528,907,1285,2310,1210,3062,1421,1541,428,1345,32100,1259,1417,713,520,281,1360,294,824,1138,1218,425,530,555,517,1754,1202,898,620,1160,992
68 years,376,516,856,1220,2278,1140,2802,1388,1526,435,1234,30346,1147,1240,696,499,276,1286,298,779,1068,1123,420,490,529,511,1663,1158,802,572,1094,912
69 years,391,481,859,1247,2291,1168,2927,1384,1546,452,1287,30646,1174,1286,675,506,268,1366,288,736,1041,1082,411,508,505,516,1713,1148,796,581,1085,916
7 years,592,774,1108,1709,3561,1474,3941,1982,3368,595,1772,46000,1304,2436,978,939,328,1735,450,1300,1198,2292,645,825,674,622,2929,1490,1126,887,1488,1464
70 years,348,452,820,1194,2111,1093,2736,1319,1447,368,1175,28766,1128,1140,641,493,246,1282,288,726,998,994,396,490,504,460,1650,1091,766,510,1018,873
71 years,331,453,794,1148,2057,1084,2603,1251,1307,366,1174,27790,1101,1121,557,438,248,1232,260,686,1054,1039,370,473,450,490,1612,1020,733,490,989,847
72 years,350,459,827,1145,1954,1012,2568,1252,1377,347,1115,27416,1046,1110,613,407,244,1206,279,700,1004,985,390,464,446,457,1572,1020,717,494,998,848
73 years,307,419,742,1067,1948,1014,2525,1197,1294,364,1092,26170,1019,1056,554,372,196,1148,250,653,910,973,357,440,411,444,1426,986,712,495,935,856
74 years,316,397,717,1048,1846,976,2421,1209,1214,334,1046,25113,987,996,573,378,208,1105,247,670,899,886,332,424,416,428,1315,972,666,457,868,750
75 years,269,388,705,1012,1746,938,2272,1224,1154,319,962,23844,945,970,512,386,191,1032,229,610,847,833,328,404,382,388,1202,864,706,422,853,742
76 years,274,342,650,988,1630,896,2130,1135,1106,336,894,22506,900,830,483,359,186,974,239,614,766,782,309,374,394,374,1157,867,625,390,792,698
77 years,248,321,596,905,1526,786,1962,1069,983,283,798,20381,792,787,464,301,173,882,197,516,696,711,251,330,310,340,1006,807,556,398,726,649
78 years,208,288,528,798,1310,743,1897,1034,861,258,750,18705,718,693,406,295,154,811,174,531,634,661,240,292,307,301,928,695,507,346,704,624
79 years,226,258,462,761,1222,660,1849,965,838,242,684,17402,678,654,398,260,141,806,156,443,589,576,238,294,281,304,803,673,466,318,608,541
8 years,546,811,1113,1677,3606,1546,4057,1990,3573,615,1943,47155,1250,2466,988,964,339,1846,440,1372,1194,2395,660,810,654,628,3002,1542,1157,941,1528,1491
80 years,186,221,396,735,1112,601,1605,940,674,250,665,15231,545,518,342,227,106,667,138,381,532,534,170,240,241,252,681,536,437,264,555,470
81 years,176,212,388,628,938,560,1502,826,612,166,576,13774,522,448,308,202,100,592,119,392,493,449,167,206,223,226,661,516,390,253,508,402
82 years,160,182,350,642,919,496,1524,819,565,186,536,13025,505,424,266,179,112,564,109,341,427,411,178,212,214,198,600,499,334,218,446,399
83 years,135,186,317,562,786,471,1392,760,471,184,513,11923,410,374,258,167,108,514,95,307,414,378,159,208,211,198,532,452,334,230,434,354
84 years,132,168,262,500,706,415,1277,661,428,157,402,10436,404,309,231,136,96,458,93,277,362,306,138,167,166,158,474,407,286,183,368,302
85 years,94,163,250,435,700,367,1190,624,364,140,379,9638,332,316,206,132,72,398,95,234,348,292,116,196,156,173,429,367,264,182,335,278
86 years,106,150,236,409,615,289,1041,544,333,120,368,8580,292,247,204,117,61,370,93,211,300,268,114,150,156,148,353,335,236,161,295,248
87 years,79,121,188,352,536,288,944,490,289,95,292,7520,282,227,185,105,70,300,68,177,262,252,104,115,150,129,316,286,218,152,244,194
88 years,70,125,172,302,460,226,886,445,216,94,288,6465,214,176,135,91,53,238,60,162,262,188,87,118,118,112,252,242,177,111,215,160
89 years,57,89,138,243,366,206,710,350,222,64,240,5331,179,161,125,64,37,211,48,122,179,149,86,80,99,93,212,221,150,87,171,164
9 years,588,859,1204,1744,3667,1594,3980,2002,3600,628,1926,48130,1380,2554,1019,956,361,1883,497,1416,1257,2424,660,806,686,640,3014,1511,1151,969,1569,1576
90 years,43,64,116,223,316,165,590,328,170,58,192,4486,152,130,87,46,40,165,37,99,170,135,58,71,91,70,192,186,136,82,144,118
91 years,48,65,92,181,286,138,518,252,140,68,169,3820,139,102,92,59,38,147,28,88,145,96,44,51,64,57,140,153,114,72,118,109
92 years,25,44,66,118,202,98,416,191,98,42,126,2737,85,74,55,43,28,100,17,66,86,83,44,38,50,36,97,113,80,48,83,76
93 years,17,33,52,99,157,86,298,153,78,35,86,2171,84,76,44,25,21,86,24,58,81,58,30,32,47,34,76,78,46,40,73,54
94 years,16,21,36,52,102,58,241,126,57,17,80,1636,52,42,42,19,14,65,17,33,72,48,23,33,36,38,66,60,38,31,42,50
95 years,9,19,34,40,93,60,176,88,35,16,65,1217,44,36,24,8,14,45,7,33,40,42,14,18,25,15,42,46,22,26,34,39
96 years,7,15,26,36,56,32,133,63,32,12,36,855,22,24,21,10,4,33,8,20,34,28,11,12,18,14,27,27,17,16,28,25
97 years,7,8,20,26,43,18,76,38,34,8,29,632,30,18,16,6,11,22,5,16,22,16,6,10,8,14,25,22,13,15,24,16
98 years,4,5,10,15,31,10,54,30,14,10,22,414,12,10,10,3,4,24,4,13,18,12,7,5,4,8,11,14,11,7,14,10
99 years,4,4,9,16,16,12,42,21,14,2,14,294,8,8,6,2,2,11,0,4,9,10,3,2,6,6,11,6,12,4,14,5
All ages,41312,54469,85292,149336,240101,111389,395142,155906,220337,56276,128882,3432759,104305,165182,69440,61251,23466,139690,31167,93135,91980,147217,43525,55433,46839,46798,200716,111930,84908,64147,109279,103900
Under 1 year,466,670,918,1522,2793,1198,4142,1638,2672,528,1499,38530,1110,2003,748,733,269,1443,351,1133,1013,1849,578,623,498,495,2362,1288,893,752,1194,1140
