Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Longford County Council,99,0,1,-1
Longford County Council,100,5,1,4
Louth County Council,0,848,852,-4
Louth County Council,1,722,809,-87
Louth County Council,2,793,901,-108
Louth County Council,3,787,816,-29
Louth County Council,4,814,918,-104
Louth County Council,5,896,897,-1
Louth County Council,6,935,987,-52
Louth County Council,7,936,1014,-78
Louth County Council,8,1011,1048,-37
Louth County Council,9,1061,1063,-2
Louth County Council,10,1029,1096,-67
Louth County Council,11,1066,1120,-54
Louth County Council,12,1113,1098,15
Louth County Council,13,1113,1190,-77
Louth County Council,14,1072,1089,-17
Louth County Council,15,1030,1110,-80
Louth County Council,16,1019,1052,-33
Louth County Council,17,1009,1032,-23
Louth County Council,18,953,999,-46
Louth County Council,19,876,894,-18
Louth County Council,20,880,1037,-157
Louth County Council,21,814,897,-83
Louth County Council,22,866,852,14
Louth County Council,23,767,812,-45
Louth County Council,24,732,737,-5
Louth County Council,25,665,750,-85
Louth County Council,26,663,676,-13
Louth County Council,27,765,697,68
Louth County Council,28,759,739,20
Louth County Council,29,797,708,89
Louth County Council,30,801,769,32
Louth County Council,31,880,796,84
Louth County Council,32,873,782,91
Louth County Council,33,922,814,108
Louth County Council,34,941,890,51
Louth County Council,35,1044,868,176
Louth County Council,36,1034,946,88
Louth County Council,37,1044,878,166
Louth County Council,38,1127,964,163
Louth County Council,39,1092,1001,91
Louth County Council,40,1170,1119,51
Louth County Council,41,1210,1100,110
Louth County Council,42,1189,1133,56
Louth County Council,43,1125,971,154
Louth County Council,44,1107,1002,105
Louth County Council,45,1063,968,95
Louth County Council,46,1062,1055,7
Louth County Council,47,1045,986,59
Louth County Council,48,1052,1010,42
Louth County Council,49,1059,1025,34
Louth County Council,50,1043,1050,-7
Louth County Council,51,1003,1025,-22
Louth County Council,52,991,974,17
Louth County Council,53,920,958,-38
Louth County Council,54,919,911,8
Louth County Council,55,833,854,-21
Louth County Council,56,875,877,-2
